c_category,c_func,c_name,c_data_type,c_value_type,c_choice,c_database,c_unit,remark,c_module,c_range,c_address
10minAverageWinSpeed,6000000,10分钟平均风速,Inst,2,,,m/s,,,,
11APhaseUHD,6000001,11阶谐波A相电压畸变率,Inst,2,,,%,,,,
11APhaseIHD,6000002,11阶谐波A相电流畸变率,Inst,2,,,%,,,,
11BPhaseUHD,6000003,11阶谐波B相电压畸变率,Inst,2,,,%,,,,
11BPhaseIHD,6000004,11阶谐波B相电流畸变率,Inst,2,,,%,,,,
11CPhaseUHD,6000005,11阶谐波C相电压畸变率,Inst,2,,,%,,,,
11CPhaseIHD,6000006,11阶谐波C相电流畸变率,Inst,2,,,%,,,,
13APhaseUHD,6000007,13阶谐波A相电压畸变率,Inst,2,,,%,,,,
13APhaseIHD,6000008,13阶谐波A相电流畸变率,Inst,2,,,%,,,,
13BPhaseUHD,6000009,13阶谐波B相电压畸变率,Inst,2,,,%,,,,
Temp,6000010,温度,Num,2,,,℃,,ENV,"[{""type"":""合格"",""grade"":0,""max"":28,""min"":18,""color"":""#49dbdf""},{""type"":""过冷"",""grade"":-1,""max"":18,""min"":15,""color"":""#099dfb""},{""type"":""过热"",""grade"":1,""max"":31,""min"":28,""color"":""#fa7753""},{""type"":""严重过冷"",""grade"":-2,""max"":15,""min"":null,""color"":""#5f7af7""},{""type"":""严重过热"",""grade"":2,""max"":null,""min"":31,""color"":""#ff5757""},{""type"":""数据中断"",""grade"":9,""max"":null,""min"":null,""color"":""#A29F9F""}]",fa fa-solid fa-virus
Humidity,6000011,湿度,Num,2,,,%RH,,ENV,"[{""type"":""合格"",""grade"":0,""max"":60,""min"":40,""color"":""#49dbdf""},{""type"":""干燥"",""grade"":-1,""max"":40,""min"":null,""color"":""#fdb664""},{""type"":""潮湿"",""grade"":1,""max"":null,""min"":60,""color"":""#5f7af7""},{""type"":""数据中断"",""grade"":9,""max"":null,""min"":null,""color"":""#A29F9F""}]",fa fa-solid fa-mask-ventilator
13CPhaseIHD,6000012,13阶谐波C相电流畸变率,Inst,2,,,%,,,,
15APhaseUHD,6000013,15阶谐波A相电压畸变率,Inst,2,,,%,,,,
15APhaseIHD,6000014,15阶谐波A相电流畸变率,Inst,2,,,%,,,,
15BPhaseUHD,6000015,15阶谐波B相电压畸变率,Inst,2,,,%,,,,
15BPhaseIHD,6000016,15阶谐波B相电流畸变率,Inst,2,,,%,,,,
15CPhaseUHD,6000017,15阶谐波C相电压畸变率,Inst,2,,,%,,,,
15CPhaseIHD,6000018,15阶谐波C相电流畸变率,Inst,2,,,%,,,,
CO2Concentration,6000019,CO2浓度,Num,2,,,ppm,,ENV,"[{""type"":""优"",""grade"":0,""max"":1000,""min"":0,""color"":""#49dbdf""},{""type"":""良"",""grade"":1,""max"":2000,""min"":1000,""color"":""#099dfb""},{""type"":""中"",""grade"":2,""max"":3000,""min"":2000,""color"":""#fdb664""},{""type"":""差"",""grade"":3,""max"":5000,""min"":3000,""color"":""#ff5757""},{""type"":""极差"",""grade"":4,""max"":null,""min"":5000,""color"":""rgb(209, 54, 209)""},{""type"":""数据中断"",""grade"":9,""max"":null,""min"":null,""color"":""#A29F9F""}]",fa fa-brands fa-cloudscale
COConcentration,6000020,CO浓度,Num,2,,,ppm,,ENV,"[{""type"":""优"",""grade"":0,""max"":10,""min"":0,""color"":""#49dbdf""},{""type"":""良"",""grade"":1,""max"":50,""min"":10.001,""color"":""#099dfb""},{""type"":""中"",""grade"":2,""max"":200,""min"":50.001,""color"":""#fdb664""},{""type"":""差"",""grade"":3,""max"":400,""min"":200.001,""color"":""#ff5757""},{""type"":""极差"",""grade"":4,""max"":null,""min"":400.001,""color"":""rgb(209, 54, 209)""},{""type"":""数据中断"",""grade"":9,""max"":null,""min"":null,""color"":""#A29F9F""}]",bi bi-slack
PM2.5Concentration,6000021,PM2.5浓度,Num,2,,,μg/m3,,ENV,"[{""type"":""优"",""grade"":0,""max"":35,""min"":0,""color"":""#49dbdf""},{""type"":""良"",""grade"":1,""max"":75,""min"":35,""color"":""#099dfb""},{""type"":""中"",""grade"":2,""max"":115,""min"":75,""color"":""#fdb664""},{""type"":""差"",""grade"":3,""max"":150,""min"":115,""color"":""#ff5757""},{""type"":""极差"",""grade"":4,""max"":null,""min"":150,""color"":""rgb(209, 54, 209)""},{""type"":""数据中断"",""grade"":9,""max"":null,""min"":null,""color"":""#A29F9F""}]",fa fa-solid fa-circle
PM10Concentration,6000022,PM10浓度,Num,2,,,μg/m3,,ENV,"[{""type"":""优"",""grade"":0,""max"":50,""min"":0,""color"":""#49dbdf""},{""type"":""良"",""grade"":1,""max"":150,""min"":50,""color"":""#099dfb""},{""type"":""中"",""grade"":2,""max"":250,""min"":150,""color"":""#fdb664""},{""type"":""差"",""grade"":3,""max"":350,""min"":250,""color"":""#ff5757""},{""type"":""极差"",""grade"":4,""max"":null,""min"":350,""color"":""rgb(209, 54, 209)""},{""type"":""数据中断"",""grade"":9,""max"":null,""min"":null,""color"":""#A29F9F""}]",fa fa-solid fa-circle-radiation
17CPhaseUHD,6000023,17阶谐波C相电压畸变率,Inst,2,,,%,,,,
17CPhaseIHD,6000024,17阶谐波C相电流畸变率,Inst,2,,,%,,,,
19APhaseUHD,6000025,19阶谐波A相电压畸变率,Inst,2,,,%,,,,
